SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
675683068.5,00099M00:03:36.665,0099 00:00:05,4.47,,,,291.89,,5.98,,,,281.89,,1,1,1
675683069,00099M00:03:37.152,0099 00:00:06,4.10,,,,291.89,,6.03,,,,281.89,,1,1,1
675683069.5,00099M00:03:37.638,0099 00:00:06,3.89,,,,286.89,,5.86,,,,281.89,,1,1,1
675683070,00099M00:03:38.125,0099 00:00:07,3.68,,,,286.89,,6.02,,,,276.89,,1,1,1
675683070.5,00099M00:03:38.611,0099 00:00:07,3.94,,,,281.89,,5.91,,,,281.89,,1,1,1
675683071,00099M00:03:39.098,0099 00:00:08,3.58,,,,301.89,,4.56,,,,291.89,,1,1,1
675683071.5,00099M00:03:39.585,0099 00:00:08,3.42,,,,291.89,,5.86,,,,281.89,,1,1,1
675683072,00099M00:03:40.071,0099 00:00:09,3.06,,,,286.89,,3.88,,,,286.89,,1,1,1
675683072.5,00099M00:03:40.558,0099 00:00:09,3.26,,,,281.89,,4.08,,,,291.89,,1,1,1
675683073,00099M00:03:41.045,0099 00:00:10,3.67,,,,276.89,,5.74,,,,271.89,,1,1,1
675683073.5,00099M00:03:41.531,0099 00:00:10,3.56,,,,286.89,,3.51,,,,276.89,,1,1,1
675683074,00099M00:03:42.018,0099 00:00:11,3.36,,,,286.89,,5.37,,,,281.89,,1,1,1
675683074.5,00099M00:03:42.504,0099 00:00:11,3.66,,,,276.89,,3.92,,,,286.89,,1,1,1
675683075,00099M00:03:42.991,0099 00:00:12,3.56,,,,276.89,,5.72,,,,271.89,,1,1,1
675683075.5,00099M00:03:43.478,0099 00:00:12,3.51,,,,276.89,,3.51,,,,276.89,,1,1,1
675683076,00099M00:03:43.964,0099 00:00:13,3.72,,,,276.89,,5.74,,,,271.89,,1,1,1
675683076.5,00099M00:03:44.451,0099 00:00:13,3.73,,,,276.89,,4.72,,,,261.89,,1,1,1
675683077,00099M00:03:44.938,0099 00:00:14,3.53,,,,276.89,,4.72,,,,261.89,,1,1,1
675683077.5,00099M00:03:45.424,0099 00:00:14,3.21,,,,281.89,,3.52,,,,276.89,,1,1,1
675683078,00099M00:03:45.911,0099 00:00:15,3.68,,,,276.89,,4.76,,,,261.89,,1,1,1
675683078.5,00099M00:03:46.397,0099 00:00:15,3.83,,,,276.89,,4.71,,,,261.89,,1,1,1
675683079,00099M00:03:46.884,0099 00:00:16,3.78,,,,281.89,,5.54,,,,271.89,,1,1,1
675683079.5,00099M00:03:47.371,0099 00:00:16,3.53,,,,281.89,,5.09,,,,266.89,,1,1,1
675683080,00099M00:03:47.857,0099 00:00:17,3.68,,,,281.89,,4.67,,,,261.89,,1,1,1
675683080.5,00099M00:03:48.344,0099 00:00:17,3.21,,,,281.89,,4.35,,,,266.89,,1,1,1
675683081,00099M00:03:48.831,0099 00:00:18,3.88,,,,276.89,,4.87,,,,261.89,,1,1,1
675683081.5,00099M00:03:49.317,0099 00:00:18,3.32,,,,276.89,,4.67,,,,261.89,,1,1,1
675683082,00099M00:03:49.804,0099 00:00:19,3.37,,,,276.89,,4.61,,,,261.89,,1,1,1
675683082.5,00099M00:03:50.290,0099 00:00:19,3.63,,,,271.89,,3.89,,,,261.89,,1,1,1
675683083,00099M00:03:50.777,0099 00:00:20,3.11,,,,276.89,,4.62,,,,261.89,,1,1,1
675683083.5,00099M00:03:51.264,0099 00:00:20,3.47,,,,271.89,,4.40,,,,261.89,,1,1,1
675683084,00099M00:03:51.750,0099 00:00:21,3.63,,,,276.89,,5.08,,,,266.89,,1,1,1
675683084.5,00099M00:03:52.237,0099 00:00:21,3.84,,,,271.89,,4.98,,,,256.89,,1,1,1
675683085,00099M00:03:52.724,0099 00:00:22,3.73,,,,276.89,,4.72,,,,261.89,,1,1,1
675683085.5,00099M00:03:53.210,0099 00:00:22,3.48,,,,271.89,,3.63,,,,266.89,,1,1,1
675683086,00099M00:03:53.697,0099 00:00:23,3.11,,,,271.89,,4.51,,,,261.89,,1,1,1
675683086.5,00099M00:03:54.183,0099 00:00:23,3.16,,,,281.89,,3.52,,,,276.89,,1,1,1
675683087,00099M00:03:54.670,0099 00:00:24,3.68,,,,286.89,,3.52,,,,276.89,,1,1,1
