SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668366347,00016M14:00:03.053,0016 13:27:39,118.37,24.96,34.74,-19.31,-0.29,128.66,1.97,71.48,0.62,,
668366347.5,00016M14:00:03.540,0016 13:27:39,118.37,24.96,34.75,-19.32,-0.29,128.66,1.96,71.48,0.63,,
668366348,00016M14:00:04.026,0016 13:27:40,118.36,24.97,34.75,-19.34,-0.28,128.66,1.96,71.48,0.64,,
668366348.5,00016M14:00:04.513,0016 13:27:40,118.36,24.97,34.76,-19.36,-0.28,128.66,1.96,71.47,0.64,,
668366349,00016M14:00:05.000,0016 13:27:41,118.36,24.97,34.77,-19.38,-0.28,128.66,1.95,71.47,0.65,,
668366349.5,00016M14:00:05.486,0016 13:27:41,118.36,24.97,34.77,-19.39,-0.28,128.66,1.95,71.47,0.65,,
668366350,00016M14:00:05.973,0016 13:27:42,118.35,24.97,34.78,-19.41,-0.28,128.66,1.95,71.47,0.66,,
668366350.5,00016M14:00:06.460,0016 13:27:42,118.35,24.98,34.78,-19.43,-0.28,128.66,1.94,71.46,0.67,,
668366351,00016M14:00:06.946,0016 13:27:43,118.35,24.98,34.79,-19.44,-0.28,128.66,1.94,71.46,0.67,,
668366351.5,00016M14:00:07.433,0016 13:27:43,118.35,24.98,34.79,-19.46,-0.28,128.66,1.94,71.46,0.68,,
668366352,00016M14:00:07.919,0016 13:27:44,118.34,24.98,34.80,-19.48,-0.28,128.66,1.93,71.45,0.68,,
668366352.5,00016M14:00:08.406,0016 13:27:44,118.34,24.98,34.80,-19.49,-0.28,128.66,1.93,71.45,0.69,,
668366353,00016M14:00:08.893,0016 13:27:45,118.34,24.98,34.81,-19.51,-0.28,128.66,1.92,71.45,0.70,,
668366353.5,00016M14:00:09.379,0016 13:27:45,118.33,24.99,34.82,-19.53,-0.28,128.66,1.92,71.45,0.70,,
668366354,00016M14:00:09.866,0016 13:27:46,118.33,24.99,34.82,-19.55,-0.28,128.66,1.92,71.44,0.71,,
668366354.5,00016M14:00:10.353,0016 13:27:46,118.33,24.99,34.83,-19.56,-0.28,128.66,1.91,71.44,0.71,,
668366355,00016M14:00:10.839,0016 13:27:47,118.33,24.99,34.83,-19.58,-0.28,128.66,1.91,71.44,0.72,,
668366355.5,00016M14:00:11.326,0016 13:27:47,118.32,24.99,34.83,-19.58,-0.28,0.00,1.91,71.44,0.72,,
668366356,00016M14:00:11.812,0016 13:27:48,118.32,24.99,34.83,-19.58,-0.28,0.00,1.91,71.44,0.72,,
668366356.5,00016M14:00:12.299,0016 13:27:48,118.32,25.00,34.84,-19.60,-0.28,128.63,1.89,71.44,0.72,,
668366357,00016M14:00:12.786,0016 13:27:49,118.32,25.00,34.84,-19.61,-0.28,128.63,1.88,71.44,0.72,,
668366357.5,00016M14:00:13.272,0016 13:27:49,118.31,25.00,34.85,-19.63,-0.28,128.63,1.86,71.45,0.73,,
668366358,00016M14:00:13.759,0016 13:27:50,118.31,25.00,34.86,-19.65,-0.28,128.63,1.85,71.45,0.73,,
668366358.5,00016M14:00:14.246,0016 13:27:50,118.31,25.00,34.86,-19.66,-0.28,128.63,1.83,71.45,0.73,,
668366359,00016M14:00:14.732,0016 13:27:51,118.31,25.00,34.87,-19.68,-0.27,128.63,1.82,71.45,0.73,,
668366359.5,00016M14:00:15.219,0016 13:27:51,118.30,25.01,34.87,-19.70,-0.27,128.63,1.80,71.46,0.73,,
668366360,00016M14:00:15.705,0016 13:27:52,118.30,25.01,34.88,-19.71,-0.27,128.63,1.79,71.46,0.74,,
668366360.5,00016M14:00:16.192,0016 13:27:52,118.30,25.01,34.88,-19.73,-0.27,128.63,1.77,71.46,0.74,,
668366361,00016M14:00:16.679,0016 13:27:53,118.30,25.01,34.89,-19.75,-0.27,128.63,1.75,71.47,0.74,,
668366361.5,00016M14:00:17.165,0016 13:27:53,118.29,25.01,34.90,-19.77,-0.27,128.63,1.74,71.47,0.74,,
668366362,00016M14:00:17.652,0016 13:27:54,118.29,25.01,34.90,-19.78,-0.27,128.63,1.72,71.47,0.75,,
668366362.5,00016M14:00:18.139,0016 13:27:54,118.29,25.02,34.91,-19.80,-0.27,128.63,1.71,71.47,0.75,,
